"Name","ACT  ","MSG  ","AD  ","DSJ  ","REP ","Joined","Last message"
"Ricky Rozay","10.72%","139","6","7","0","2021-04-22","2021-04-29"
"Leonardo","7.9%","257","8","9","0","2021-04-22","2021-05-01"
"Marius ","6.35%","77","9","8","0","2021-04-22","2021-04-30"
"DOGGOTOTHEMOON","6.08%","96","3","3","0","2021-04-22","2021-04-24"
"Chase Curtis","5.1%","69","5","7","0","2021-04-22","2021-04-30"
"Denny Da Hachiko Rocket 369 ","4.76%","91","4","3","0","2021-04-26","2021-04-30"
"ouz","4.72%","40","1","1","0","2021-04-22","2021-04-22"
"Space Man","3.81%","66","4","7","1","2021-04-22","2021-04-29"
"RAIN MAN","3.52%","47","1","0","0","2021-04-22","2021-04-22"
"Johnny Mnemonic","3.49%","36","1","0","0","2021-04-22","2021-04-22"
"Sammy Stonk","3.3%","45","3","3","0","2021-04-28","2021-04-30"
"Kim","2.68%","36","2","2","0","2021-04-22","2021-04-24"
"TheGemFinderPt2","2.17%","21","5","4","0","2021-04-25","2021-04-29"
"Dr Eric FarmFace","1.87%","24","1","0","1","2021-04-22","2021-04-22"
"A.R.","1.84%","1","1","2","0","2021-04-22","2021-04-24"
"Willy ""Mezouzed"" Whalestein - 1st of the name","1.59%","39","5","10","0","2021-04-22","2021-05-01"
"Optimus","1.55%","34","2","1","0","2021-04-22","2021-04-23"
"Maxi | Turing Research Network","1.53%","21","6","8","0","2021-04-22","2021-05-01"
"davy","1.4%","24","4","4","0","2021-04-26","2021-05-01"
"BIG FOOT","1.4%","10","3","5","0","2021-04-25","2021-04-30"
"Doulzy","1.23%","16","4","6","0","2021-04-22","2021-04-28"
"KD","1.16%","24","4","6","1","2021-04-22","2021-04-28"
"Crip Toe","1.15%","10","1","0","0","2021-04-22","2021-04-22"
"Iggy","1.09%","13","3","8","0","2021-04-22","2021-04-30"
"Rob G","1.08%","14","3","8","0","2021-04-22","2021-04-29"
"Johnny Walker","1.08%","23","3","6","0","2021-04-22","2021-04-28"
"A O","1.07%","16","2","1","0","2021-04-23","2021-04-24"
"👾👾👾","0.95%","13","1","0","0","2021-04-30","2021-04-30"
"Wolf Of Defi","0.83%","3","1","0","0","2021-04-26","2021-04-26"
"Lincoln M","0.77%","25","7","9","0","2021-04-22","2021-05-01"
"bl10buer","0.74%","1","1","0","0","2021-04-25","2021-04-25"
"TRID3NT","0.66%","9","1","0","0","2021-04-22","2021-04-22"
"Rajat","0.65%","12","1","0","0","2021-04-28","2021-04-28"
"Hero Saitama 👊🏻✔️","0.65%","28","1","0","0","2021-04-22","2021-04-22"
"Kazuma K.","0.62%","7","3","7","0","2021-04-23","2021-04-30"
"Xunov","0.6%","8","4","7","1","2021-04-22","2021-04-29"
"Ana Cavallero ","0.5%","2","2","5","0","2021-04-25","2021-04-29"
"Abd El","0.42%","13","1","0","0","2021-04-30","2021-04-30"
"John Doe","0.4%","4","1","0","0","2021-04-27","2021-04-27"
"CROME","0.4%","4","2","1","0","2021-04-22","2021-04-23"
"Znake ","0.38%","3","1","0","0","2021-04-27","2021-04-27"
"Noâm","0.38%","11","1","0","0","2021-04-24","2021-04-24"
"Pepetron","0.34%","6","2","2","0","2021-04-29","2021-04-30"
"Bradley Martin","0.33%","3","1","0","0","2021-04-27","2021-04-27"
"Mike","0.32%","6","2","1","0","2021-04-27","2021-04-28"
"Joyce wang","0.31%","5","1","3","0","2021-04-26","2021-04-29"
"WILL SMITH","0.31%","5","4","4","0","2021-04-22","2021-04-26"
"Andres","0.3%","5","2","1","0","2021-04-22","2021-04-23"
"Dylan","0.29%","6","1","0","0","2021-04-23","2021-04-23"
"Jar","0.27%","2","1","0","0","2021-04-30","2021-04-30"
"Owen","0.26%","3","1","2","0","2021-04-28","2021-04-30"
"Passionfruit Papi","0.23%","6","1","0","0","2021-04-22","2021-04-22"
"S A","0.23%","6","1","1","0","2021-04-22","2021-04-22"
"X","0.22%","4","1","0","0","2021-04-22","2021-04-22"
"Jim","0.21%","6","4","3","0","2021-04-27","2021-05-01"
"Jack","0.2%","6","2","5","0","2021-04-23","2021-04-28"
"Skies","0.2%","3","1","0","0","2021-04-26","2021-04-26"
"Hot Cakes","0.18%","2","1","0","0","2021-04-22","2021-04-22"
"Gotbuds","0.18%","2","1","0","0","2021-04-22","2021-04-22"
"Apparent","0.17%","10","1","0","0","2021-04-22","2021-04-22"
"Neil Armstrong","0.17%","5","1","0","0","2021-04-22","2021-04-22"
"Josefa Lasota","0.16%","4","2","7","0","2021-04-22","2021-04-29"
"Pandadan","0.15%","5","1","0","0","2021-04-26","2021-04-26"
"mister?","0.15%","3","1","0","0","2021-04-24","2021-04-24"
"Jhano 👑 | @GainsWithGlory | INFINITY GAINZ MOD","0.14%","7","1","0","0","2021-04-27","2021-04-27"
"CRYPTO BILLIONAIRE $DEFI GOD MARIUS [100-40000% 💎 Sniffer ] Ξ Early launch supporter","0.14%","7","1","0","0","2021-04-22","2021-04-22"
"Konkong","0.13%","4","2","1","0","2021-04-22","2021-04-23"
"Daniel Ocean","0.12%","3","1","0","0","2021-04-28","2021-04-28"
"Tyler Durden","0.12%","5","1","0","0","2021-04-23","2021-04-23"
"Shabir","0.11%","2","1","0","0","2021-04-28","2021-04-28"
"RC350","0.11%","2","1","0","0","2021-04-26","2021-04-26"
"Bon Ngo","0.1%","3","1","0","0","2021-04-28","2021-04-28"
"Frederick Gaston","0.1%","6","2","1","0","2021-04-22","2021-04-23"
"Bucky","0.09%","1","1","0","0","2021-04-27","2021-04-27"
"Henry","0.09%","3","1","0","0","2021-04-22","2021-04-22"
"TGRIFF","0.08%","2","1","0","0","2021-04-22","2021-04-22"
"Rug Pull","0.08%","5","1","0","0","2021-04-22","2021-04-22"
"coinguy","0.08%","2","1","0","0","2021-04-22","2021-04-22"
"Zzzzzz","0.07%","11","2","2","0","2021-04-28","2021-04-29"
"Uniswap Athlete","0.07%","3","1","0","0","2021-04-22","2021-04-22"
"Crypto_botter","0.06%","3","1","0","0","2021-04-26","2021-04-26"
"CryptoMatt87","0.06%","2","1","0","0","2021-04-22","2021-04-22"
"Mikhail","0.05%","1","1","0","0","2021-04-30","2021-04-30"
