"Name","ACT  ","MSG  ","AD  ","DSJ  ","REP ","Joined","Last message"
"Leonardo","10.02%","375","16","20","0","2021-04-22","2021-05-12"
"Ricky Rozay","9.49%","139","6","7","0","2021-04-22","2021-04-29"
"Σ ","6.5%","86","15","18","0","2021-04-22","2021-05-10"
"DOGGOTOTHEMOON","5.38%","96","3","3","0","2021-04-22","2021-04-24"
"CHIEF *Doesn't Reply To DMs","4.51%","69","5","7","0","2021-04-22","2021-04-30"
"ouz","4.48%","45","2","19","0","2021-04-22","2021-05-10"
"Denny Da Hachiko Rocket 369 ","4.21%","91","4","3","0","2021-04-26","2021-04-30"
"Space Man","3.7%","68","5","9","1","2021-04-22","2021-05-01"
"RAIN MAN","3.12%","47","1","0","0","2021-04-22","2021-04-22"
"Orlando Bloom","3.09%","36","1","0","0","2021-04-22","2021-04-22"
"Sammy Stonk","2.92%","45","3","3","0","2021-04-28","2021-04-30"
"Kim","2.37%","36","2","2","0","2021-04-22","2021-04-24"
"TheGemFinder","2.14%","27","7","16","0","2021-04-25","2021-05-11"
"davy","1.87%","36","9","14","0","2021-04-26","2021-05-10"
"Dr Eric FarmFace","1.65%","24","1","0","1","2021-04-22","2021-04-22"
"A.R.","1.62%","1","1","2","0","2021-04-22","2021-04-24"
"Willy ""Mezouzed"" Whalestein - 1st of the name","1.44%","42","8","20","0","2021-04-22","2021-05-11"
"Maxi | Turing Research Network","1.37%","22","7","17","0","2021-04-22","2021-05-09"
"Optimus","1.37%","34","2","1","0","2021-04-22","2021-04-23"
"BIG FOOT","1.23%","12","4","9","0","2021-04-25","2021-05-04"
"Doulzy","1.08%","16","4","6","0","2021-04-22","2021-04-28"
"KD (Will Never DM Anyone For Money)","1.02%","24","4","6","1","2021-04-22","2021-04-28"
"Jim","1.01%","25","10","14","0","2021-04-27","2021-05-11"
"Crip Toe","1.01%","10","1","0","0","2021-04-22","2021-04-22"
"Iggy","0.97%","13","3","8","0","2021-04-22","2021-04-30"
"Rob G","0.96%","14","3","8","0","2021-04-22","2021-04-29"
"Johnny Walker","0.95%","23","3","6","0","2021-04-22","2021-04-28"
"A O","0.95%","16","2","1","0","2021-04-23","2021-04-24"
"Abd El","0.94%","24","9","12","0","2021-04-30","2021-05-12"
"🌈🌈🌈","0.84%","13","1","0","0","2021-04-30","2021-04-30"
"Kelle Tom","0.8%","1","1","0","0","2021-05-11","2021-05-11"
"Passionfruit Papi","0.77%","14","4","18","0","2021-04-22","2021-05-10"
"Wolf Of Defi","0.73%","3","1","0","0","2021-04-26","2021-04-26"
"Lincoln M","0.68%","25","7","9","0","2021-04-22","2021-05-01"
"Rajat","0.58%","12","1","0","0","2021-04-28","2021-04-28"
"Hero Saitama 👊🏻✔️","0.58%","28","1","0","0","2021-04-22","2021-04-22"
"TRID3NT","0.58%","9","1","0","0","2021-04-22","2021-04-22"
"Kazuma K.","0.55%","8","4","10","0","2021-04-23","2021-05-03"
"Makusu","0.54%","6","3","3","0","2021-05-10","2021-05-12"
"Xunov","0.53%","8","4","7","1","2021-04-22","2021-04-29"
"Socom","0.51%","13","6","19","0","2021-04-22","2021-05-11"
"Skies","0.49%","9","3","15","0","2021-04-26","2021-05-11"
"Joyce wang","0.49%","8","2","15","0","2021-04-26","2021-05-11"
"Ana Cavallero ","0.44%","2","2","5","0","2021-04-25","2021-04-29"
"Mike","0.42%","9","3","14","0","2021-04-27","2021-05-11"
"Bitcoin__ Art🚀","0.36%","4","1","0","0","2021-04-27","2021-04-27"
"CROME","0.35%","4","2","1","0","2021-04-22","2021-04-23"
"Znake ","0.34%","3","1","0","0","2021-04-27","2021-04-27"
"Noâm","0.33%","11","1","0","0","2021-04-24","2021-04-24"
"Pepetron","0.3%","6","2","2","0","2021-04-29","2021-04-30"
"Jack","0.29%","8","4","17","0","2021-04-23","2021-05-10"
"Bradley Martin","0.29%","3","1","0","0","2021-04-27","2021-04-27"
"WILL SMITH","0.27%","5","4","4","0","2021-04-22","2021-04-26"
"Dylan","0.26%","6","1","0","0","2021-04-23","2021-04-23"
"Andres","0.26%","5","2","1","0","2021-04-22","2021-04-23"
"Owen","0.25%","6","4","11","0","2021-04-28","2021-05-09"
"Joey anne","0.24%","5","3","13","0","2021-04-22","2021-05-05"
"Matt C","0.24%","2","1","0","0","2021-04-30","2021-04-30"
"S A","0.21%","6","1","1","0","2021-04-22","2021-04-22"
"🌙🌙🌙 🌙🌙🌙🌙🌙","0.2%","6","2","12","0","2021-04-28","2021-05-10"
"prats","0.19%","2","1","12","0","2021-04-28","2021-05-10"
"X","0.19%","4","1","0","0","2021-04-22","2021-04-22"
"FuckboyDeluxe","0.16%","4","1","0","0","2021-05-11","2021-05-11"
"Hot Cakes","0.16%","2","1","0","0","2021-04-22","2021-04-22"
"Gotbuds","0.16%","2","1","0","0","2021-04-22","2021-04-22"
"Apparent","0.15%","10","1","0","0","2021-04-22","2021-04-22"
"Neil Armstrong","0.15%","5","1","0","0","2021-04-22","2021-04-22"
"mister?","0.14%","3","1","0","0","2021-04-24","2021-04-24"
"Pandadan","0.13%","5","1","0","0","2021-04-26","2021-04-26"
"M N","0.12%","2","1","10","0","2021-05-01","2021-05-11"
"Jhano 👑 | @GainsWithGlory | INFINITY GAINZ MOD","0.12%","7","1","0","0","2021-04-27","2021-04-27"
"CRYPTO BILLIONAIRE $DEFI GOD MARIUS [100-40000% 💎 Sniffer ] Ξ Early launch supporter","0.12%","7","1","0","0","2021-04-22","2021-04-22"
"Shawn Lee","0.11%","1","1","12","0","2021-04-23","2021-05-05"
"Daniel Ocean","0.11%","3","1","0","0","2021-04-28","2021-04-28"
"Napoleon Dynamite","0.11%","5","1","0","0","2021-04-23","2021-04-23"
"Konkong","0.11%","4","2","1","0","2021-04-22","2021-04-23"
"Shabir","0.1%","2","1","0","0","2021-04-28","2021-04-28"
"RC350","0.09%","2","1","0","0","2021-04-26","2021-04-26"
"Sr Hodls Alot","0.08%","1","1","17","0","2021-04-24","2021-05-11"
"Kemmy13","0.08%","6","1","0","0","2021-05-10","2021-05-10"
"Bucky","0.08%","1","1","0","0","2021-04-27","2021-04-27"
"Frederick Gaston","0.08%","6","2","1","0","2021-04-22","2021-04-23"
"Henry","0.08%","3","1","0","0","2021-04-22","2021-04-22"
"Zzzzzz","0.07%","11","2","2","0","2021-04-28","2021-04-29"
"TGRIFF","0.07%","2","1","0","0","2021-04-22","2021-04-22"
"Rug Pull","0.07%","5","1","0","0","2021-04-22","2021-04-22"
"coinguy","0.07%","2","1","0","0","2021-04-22","2021-04-22"
".","0.06%","5","1","0","0","2021-05-11","2021-05-11"
"Bro ji","0.06%","5","1","0","0","2021-05-10","2021-05-10"
"JayZo","0.06%","4","1","0","0","2021-05-10","2021-05-10"
"Uniswap Athlete","0.06%","3","1","0","0","2021-04-22","2021-04-22"
"Nikos Raftopoulos","0.05%","1","1","0","0","2021-05-11","2021-05-11"
"Mikhail","0.05%","1","1","0","0","2021-04-30","2021-04-30"
"xStein","0.05%","2","1","0","0","2021-04-28","2021-04-28"
"Crypto_botter","0.05%","3","1","0","0","2021-04-26","2021-04-26"
"CryptoMatt87","0.05%","2","1","0","0","2021-04-22","2021-04-22"
"Tigerdolar","0.04%","1","1","1","0","2021-05-01","2021-05-02"
"Crypto Morgz","0.04%","2","1","0","0","2021-04-22","2021-04-22"
"su ka","0.04%","2","1","0","0","2021-04-22","2021-04-22"
"Sebastian R","0.04%","4","1","0","0","2021-04-22","2021-04-22"
"RR","0.04%","1","1","0","0","2021-04-22","2021-04-22"
"Dethkoin","0.03%","2","1","13","0","2021-04-27","2021-05-10"
"SanFrancesco","0.03%","1","1","0","0","2021-05-08","2021-05-08"
