"Name","ACT  ","MSG  ","AD  ","DSJ  ","REP ","Joined","Last message"
"Leonardo","13.11%","492","20","25","0","2021-04-22","2021-05-17"
"Ricky Rozay","7.83%","139","6","7","0","2021-04-22","2021-04-29"
"MnK ","6.26%","98","18","22","0","2021-04-22","2021-05-14"
"DOGGOTOTHEMOON","4.44%","96","3","3","0","2021-04-22","2021-04-24"
"CHIEF | HEAD DIRECTOR","3.81%","70","6","23","0","2021-04-22","2021-05-15"
"ouz","3.73%","49","4","22","0","2021-04-22","2021-05-13"
"Abd El","3.54%","27","10","15","0","2021-04-30","2021-05-15"
"Denny Da Hachiko Rocket 369 ","3.48%","91","4","3","0","2021-04-26","2021-04-30"
"Space Man","3.05%","68","5","9","1","2021-04-22","2021-05-01"
"RAIN MAN","2.58%","47","1","0","0","2021-04-22","2021-04-22"
"Orlando Bloom","2.55%","36","1","0","0","2021-04-22","2021-04-22"
"Sammy Stonk $TDEF","2.41%","45","3","3","0","2021-04-28","2021-04-30"
"Kim","1.96%","36","2","2","0","2021-04-22","2021-04-24"
"Jim","1.94%","52","16","20","0","2021-04-27","2021-05-17"
"TheGemFinder","1.77%","27","7","16","0","2021-04-25","2021-05-11"
"davy","1.54%","36","9","14","0","2021-04-26","2021-05-10"
"Dr Eric FarmFace","1.37%","24","1","0","1","2021-04-22","2021-04-22"
"A.R.","1.34%","1","1","2","0","2021-04-22","2021-04-24"
"Joyce wang","1.32%","22","4","19","0","2021-04-26","2021-05-15"
"Makusu","1.29%","28","6","7","0","2021-05-10","2021-05-16"
"Willy ""Mezouzed"" Whalestein - 1st of the name","1.19%","43","9","21","0","2021-04-22","2021-05-12"
"Maxi | Turing Research Network","1.17%","23","8","22","0","2021-04-22","2021-05-14"
"David | Co-Founder of Moonboobs.io","1.13%","34","2","1","0","2021-04-22","2021-04-23"
"BIG FOOT","1.02%","12","4","9","0","2021-04-25","2021-05-04"
"Johnny Walker","0.98%","29","5","23","0","2021-04-22","2021-05-15"
"pUrs","0.97%","44","5","4","0","2021-05-12","2021-05-16"
"Ana Cavallero ","0.93%","9","3","18","0","2021-04-25","2021-05-12"
"Doulzy","0.9%","16","4","6","0","2021-04-22","2021-04-28"
"KD (Will Never DM Anyone For Money)","0.85%","24","4","6","1","2021-04-22","2021-04-28"
"Crip Toe","0.84%","10","1","0","0","2021-04-22","2021-04-22"
"Iggy","0.8%","13","3","8","0","2021-04-22","2021-04-30"
"Roberto Gui","0.79%","14","3","8","0","2021-04-22","2021-04-29"
"A O","0.78%","16","2","1","0","2021-04-23","2021-04-24"
"T","0.73%","14","3","3","0","2021-05-12","2021-05-15"
"🌈🌈🌈","0.7%","13","1","0","0","2021-04-30","2021-04-30"
"Kelle Tom","0.66%","1","1","0","0","2021-05-11","2021-05-11"
"Crypto Gains","0.65%","21","1","0","0","2021-05-12","2021-05-12"
"Passionfruit Papi","0.65%","15","5","20","0","2021-04-22","2021-05-12"
"Wolf Of Defi","0.61%","3","1","0","0","2021-04-26","2021-04-26"
"Lincoln M","0.56%","25","7","9","0","2021-04-22","2021-05-01"
"Socom","0.52%","19","9","23","0","2021-04-22","2021-05-15"
"Rajat","0.48%","12","1","0","0","2021-04-28","2021-04-28"
"Hero Saitama 👊🏻✔️","0.48%","28","1","0","0","2021-04-22","2021-04-22"
"TRID3NT","0.48%","9","1","0","0","2021-04-22","2021-04-22"
"FuckboyDeluxe","0.47%","12","3","3","0","2021-05-11","2021-05-14"
"Kazuma K.","0.45%","8","4","10","0","2021-04-23","2021-05-03"
"Joey anne","0.44%","6","4","24","0","2021-04-22","2021-05-16"
"Xunov","0.44%","8","4","7","1","2021-04-22","2021-04-29"
"Skies","0.41%","9","3","15","0","2021-04-26","2021-05-11"
"Mike","0.37%","12","5","19","0","2021-04-27","2021-05-16"
"🌙🌙🌙 🌙🌙🌙🌙🌙","0.36%","9","4","15","0","2021-04-28","2021-05-14"
"Key George","0.35%","2","2","8","0","2021-05-09","2021-05-17"
"Kathryn Carr","0.34%","1","1","0","0","2021-05-14","2021-05-14"
"Bitcoin__ Art🚀","0.29%","4","1","0","0","2021-04-27","2021-04-27"
"CROME","0.29%","4","2","1","0","2021-04-22","2021-04-23"
"Znake ","0.28%","3","1","0","0","2021-04-27","2021-04-27"
"Noâm","0.27%","11","1","0","0","2021-04-24","2021-04-24"
"📈 Moonboy 🚀 buyer of dips","0.25%","10","3","2","0","2021-05-13","2021-05-15"
"Owen","0.25%","7","5","14","0","2021-04-28","2021-05-12"
"Pepetron","0.25%","6","2","2","0","2021-04-29","2021-04-30"
"Jack","0.24%","8","4","17","0","2021-04-23","2021-05-10"
"Bradley Martin","0.24%","3","1","0","0","2021-04-27","2021-04-27"
"Bucky","0.22%","8","4","19","0","2021-04-27","2021-05-17"
"WILL SMITH","0.22%","5","4","4","0","2021-04-22","2021-04-26"
"Andres","0.22%","5","2","1","0","2021-04-22","2021-04-23"
"Dylan","0.21%","6","1","0","0","2021-04-23","2021-04-23"
"Matt C","0.2%","2","1","0","0","2021-04-30","2021-04-30"
"Leonardo Lopez ","0.19%","6","2","1","0","2021-05-15","2021-05-16"
"prats","0.19%","3","2","14","0","2021-04-28","2021-05-12"
"Sr Hodls Alot","0.18%","5","4","21","0","2021-04-24","2021-05-15"
